block,mode,kem,signature,median_ms,first_mode
0,cold,smaug5,aimer256f,11.651037,cold
0,cold,smaug3,haetae5,6.250177,cold
0,cold,ntruplus_kem768,aimer192f,7.177196,cold
0,cold,ntruplus_kem864,aimer128f,4.781433,cold
0,cold,smaug1,aimer128f,4.509393,cold
0,cold,ntruplus_kem1152,haetae5,6.106182,cold
0,cold,smaug1,aimer192f,6.801456,cold
0,cold,ntruplus_kem576,haetae5,5.25237,cold
0,cold,ntruplus_kem1152,haetae3,4.304123,cold
0,cold,ntruplus_kem576,aimer128f,4.722285,cold
0,cold,ntruplus_kem768,aimer256f,12.007161,cold
0,cold,ntruplus_kem864,aimer256f,11.934305,cold
0,cold,smaug1,haetae3,3.432264,cold
0,cold,smaug1,haetae2,4.784073,cold
0,cold,ntruplus_kem864,haetae5,4.298949,cold
0,cold,ntruplus_kem576,haetae3,4.755265,cold
0,cold,ntruplus_kem1152,aimer192f,7.501426,cold
0,cold,smaug5,aimer192f,6.883009,cold
0,cold,ntruplus_kem576,aimer256f,11.811611,cold
0,cold,smaug5,haetae2,3.535719,cold
0,cold,X25519,EC,1.706707,cold
0,cold,ntruplus_kem864,haetae3,4.742379,cold
0,cold,ntruplus_kem1152,aimer256f,12.253087,cold
0,cold,ntruplus_kem1152,haetae2,3.918453,cold
0,cold,smaug3,aimer192f,7.005627,cold
0,cold,ntruplus_kem1152,aimer128f,5.145168,cold
0,cold,smaug5,aimer128f,4.674908,cold
0,cold,ntruplus_kem864,aimer192f,7.199576,cold
0,cold,ntruplus_kem768,haetae2,5.669242,cold
0,cold,ntruplus_kem768,haetae5,7.140556,cold
0,cold,smaug1,aimer256f,11.638444,cold
0,cold,smaug3,aimer128f,4.596182,cold
0,cold,ntruplus_kem768,aimer128f,4.846901,cold
0,cold,smaug3,aimer256f,11.766594,cold
0,cold,ntruplus_kem576,haetae2,4.702342,cold
0,cold,smaug1,haetae5,4.180909,cold
0,cold,ntruplus_kem768,haetae3,4.333,cold
0,cold,smaug3,haetae3,3.934327,cold
0,cold,smaug5,haetae3,4.329623,cold
0,cold,smaug5,haetae5,4.917747,cold
