kind,kem,signature,added_rtt_ms,block,delta_ms
mtu1500-minus9001,X25519,EC,0,0,0.008074000000000026
mtu1500-minus9001,X25519,EC,0,1,0.010985000000000023
mtu1500-minus9001,X25519,EC,0,2,0.014900000000000024
mtu1500-minus9001,X25519,EC,10,0,-0.13642399999999988
mtu1500-minus9001,X25519,EC,10,1,0.21173399999999987
mtu1500-minus9001,X25519,EC,10,2,0.07112599999999958
mtu1500-minus9001,X25519,EC,30,0,0.05063700000000182
mtu1500-minus9001,X25519,EC,30,1,0.06391599999999897
mtu1500-minus9001,X25519,EC,30,2,-0.15534200000000098
mtu1500-minus9001,smaug1,haetae2,0,0,0.14853300000000003
hrr-minus-control,smaug1,haetae2,0,0,0.6479139999999997
mtu1500-minus9001,smaug1,haetae2,0,1,-0.290743
hrr-minus-control,smaug1,haetae2,0,1,2.0690129999999995
mtu1500-minus9001,smaug1,haetae2,0,2,0.14483299999999977
hrr-minus-control,smaug1,haetae2,0,2,0.05224999999999991
mtu1500-minus9001,smaug1,haetae2,10,0,0.05477600000000038
hrr-minus-control,smaug1,haetae2,10,0,11.549570999999998
mtu1500-minus9001,smaug1,haetae2,10,1,0.24459600000000137
hrr-minus-control,smaug1,haetae2,10,1,11.498451999999999
mtu1500-minus9001,smaug1,haetae2,10,2,-0.37507599999999996
hrr-minus-control,smaug1,haetae2,10,2,12.105789999999999
mtu1500-minus9001,smaug1,haetae2,30,0,0.9887240000000048
hrr-minus-control,smaug1,haetae2,30,0,31.575574999999994
mtu1500-minus9001,smaug1,haetae2,30,1,0.1279520000000005
hrr-minus-control,smaug1,haetae2,30,1,31.129184000000002
mtu1500-minus9001,smaug1,haetae2,30,2,0.0734509999999986
hrr-minus-control,smaug1,haetae2,30,2,31.29107799999999
mtu1500-minus9001,smaug1,aimer128f,0,0,0.05132000000000003
hrr-minus-control,smaug1,aimer128f,0,0,0.3554059999999999
mtu1500-minus9001,smaug1,aimer128f,0,1,-0.06632199999999999
hrr-minus-control,smaug1,aimer128f,0,1,0.41876099999999994
mtu1500-minus9001,smaug1,aimer128f,0,2,-0.015727000000000046
hrr-minus-control,smaug1,aimer128f,0,2,0.35783999999999994
mtu1500-minus9001,smaug1,aimer128f,10,0,8.43281
hrr-minus-control,smaug1,aimer128f,10,0,10.735486000000002
mtu1500-minus9001,smaug1,aimer128f,10,1,8.435260000000001
hrr-minus-control,smaug1,aimer128f,10,1,10.802153999999998
mtu1500-minus9001,smaug1,aimer128f,10,2,8.454912
hrr-minus-control,smaug1,aimer128f,10,2,10.786091000000003
mtu1500-minus9001,smaug1,aimer128f,30,0,28.501355000000004
hrr-minus-control,smaug1,aimer128f,30,0,30.966218000000005
mtu1500-minus9001,smaug1,aimer128f,30,1,28.362690999999998
hrr-minus-control,smaug1,aimer128f,30,1,30.858063
mtu1500-minus9001,smaug1,aimer128f,30,2,28.520455
hrr-minus-control,smaug1,aimer128f,30,2,30.710580999999998
mtu1500-minus9001,ntruplus_kem768,haetae2,0,0,0.4866100000000002
hrr-minus-control,ntruplus_kem768,haetae2,0,0,-0.00579699999999983
mtu1500-minus9001,ntruplus_kem768,haetae2,0,1,-0.6665030000000001
hrr-minus-control,ntruplus_kem768,haetae2,0,1,1.5235669999999994
mtu1500-minus9001,ntruplus_kem768,haetae2,0,2,0.05084599999999995
hrr-minus-control,ntruplus_kem768,haetae2,0,2,0.36729999999999974
mtu1500-minus9001,ntruplus_kem768,haetae2,10,0,0.22343000000000046
hrr-minus-control,ntruplus_kem768,haetae2,10,0,10.577195999999999
mtu1500-minus9001,ntruplus_kem768,haetae2,10,1,-0.6192709999999995
hrr-minus-control,ntruplus_kem768,haetae2,10,1,11.823450000000001
mtu1500-minus9001,ntruplus_kem768,haetae2,10,2,-0.2430020000000006
hrr-minus-control,ntruplus_kem768,haetae2,10,2,10.612618000000001
mtu1500-minus9001,ntruplus_kem768,haetae2,30,0,-0.0887650000000022
hrr-minus-control,ntruplus_kem768,haetae2,30,0,30.763166
mtu1500-minus9001,ntruplus_kem768,haetae2,30,1,-0.012515000000000498
hrr-minus-control,ntruplus_kem768,haetae2,30,1,30.872516999999995
mtu1500-minus9001,ntruplus_kem768,haetae2,30,2,-0.025862000000003604
hrr-minus-control,ntruplus_kem768,haetae2,30,2,31.795097
mtu1500-minus9001,ntruplus_kem768,aimer128f,0,0,0.08058000000000032
hrr-minus-control,ntruplus_kem768,aimer128f,0,0,0.32535899999999973
mtu1500-minus9001,ntruplus_kem768,aimer128f,0,1,0.10979599999999978
hrr-minus-control,ntruplus_kem768,aimer128f,0,1,0.453662
mtu1500-minus9001,ntruplus_kem768,aimer128f,0,2,0.07713600000000032
hrr-minus-control,ntruplus_kem768,aimer128f,0,2,0.38343499999999997
mtu1500-minus9001,ntruplus_kem768,aimer128f,10,0,8.449762
hrr-minus-control,ntruplus_kem768,aimer128f,10,0,11.103855999999997
mtu1500-minus9001,ntruplus_kem768,aimer128f,10,1,8.415958000000002
