block,kem,signature,concurrency,connections,failed,elapsed_seconds,handshakes_per_second,tls_p50_ms,tls_p95_ms,tcp_ready_tls_p50_ms,tcp_ready_tls_p95_ms
0,X25519,EC,4,19473,0,8.005139882,2432.5621147215825,1.009329,1.6330327999999998,1.526573,2.1332219999999995
0,ntruplus_kem768,haetae2,4,3887,0,8.058732816,482.3338965007821,6.904866,11.879796399999998,7.616049,12.5257004
0,smaug1,aimer128f,1,2244,0,8.029838128,279.45768821605316,3.2291495,3.3522563499999998,3.482946,3.6317448
0,ntruplus_kem768,haetae2,1,2136,0,8.029314598,266.02519728546326,3.193193,4.956746000000001,3.4628305,5.217663999999999
0,ntruplus_kem768,aimer128f,4,3615,0,8.022877887,450.5864417876313,7.669419,11.035786799999999,8.382632,11.756313499999992
0,smaug1,haetae2,16,4622,0,8.049091792,574.2262753909466,10.9989025,21.04266995,26.7328045,37.139272749999996
0,ntruplus_kem768,haetae2,16,4259,0,8.039915482,529.731936801472,11.995287,22.401222299999997,28.866626,39.989449
0,ntruplus_kem768,aimer128f,16,4202,0,8.035121245,522.9541498972117,12.707392,19.8779347,29.3934225,37.80866579999999
0,smaug1,haetae2,1,2272,0,8.030469566,282.922434526041,2.9436635,4.816883,3.2056145000000003,5.065215549999998
0,smaug1,aimer128f,4,3816,0,8.02267786,475.6516547954725,7.2767795,10.38196775,7.999398,10.998021000000001
0,X25519,EC,1,9980,0,8.030417499,1242.7747375827937,0.526261,0.5773729,0.750282,0.8111494
0,ntruplus_kem768,aimer128f,1,2109,0,8.02953321,262.6553679824683,3.455332,3.5636332,3.708479,3.8653619999999997
0,smaug1,haetae2,4,4296,0,8.057486961,533.1687188317622,6.2300355,10.813216,7.000614000000001,11.822021
0,smaug1,aimer128f,16,4484,0,8.04163239,557.5982316197371,11.729395499999999,19.225173549999997,27.271713,36.0764193
0,X25519,EC,16,20959,0,8.04609109,2604.8673530490696,1.720999,3.1325224999999994,5.885262,7.5840580999999965
1,smaug1,aimer128f,1,2241,0,8.030035744,279.07721353226395,3.227546,3.366896,3.4821,3.647958
1,ntruplus_kem768,aimer128f,16,4198,0,8.053257398,521.2797496131888,12.758910499999999,20.052917899999997,29.4806315,37.820955899999994
1,ntruplus_kem768,aimer128f,1,2092,0,8.030608755,260.50328982811965,3.485539,3.5893386499999997,3.73956,3.8906777
1,smaug1,haetae2,4,4267,0,8.008020786,532.8407747716853,6.320903,10.8829692,7.053845,11.653328
1,ntruplus_kem768,haetae2,1,2135,0,8.029792078,265.88484225506494,3.188958,4.7616023,3.465923,5.018494799999999
1,ntruplus_kem768,haetae2,16,4282,0,8.028514787,533.3489585064395,11.956105,22.213863449999995,28.596083,39.84750789999998
1,smaug1,aimer128f,4,3782,0,8.021535309,471.48081437186624,7.334309,10.389972449999998,8.03025,11.0853293
1,X25519,EC,4,19413,0,8.0040303,2425.403112229598,1.009901,1.6328321999999995,1.529052,2.1483011999999997
1,smaug1,haetae2,1,2320,0,8.03115436,288.87503539404014,2.8965199999999998,4.566795699999998,3.163713,4.8302726999999965
1,X25519,EC,1,9899,0,8.030046195,1232.7450875891254,0.529228,0.5771065,0.757198,0.8151806
1,smaug1,haetae2,16,4588,0,8.028302735,571.4782004916509,11.171880999999999,20.70678334999999,26.91494,37.54613284999999
1,ntruplus_kem768,aimer128f,4,3611,0,8.025288711,449.9526596532933,7.732875,11.1367725,8.449481,11.888193000000001
1,smaug1,aimer128f,16,4485,0,8.065089784,556.1004427870855,11.73385,18.8569602,27.276458,35.899087800000004
1,ntruplus_kem768,haetae2,4,3895,0,8.010621344,486.2294487202764,6.924515,11.583496199999992,7.635642,12.3805773
1,X25519,EC,16,20889,0,8.045872141,2596.2381248335078,1.73236,3.1075489999999992,5.904316,7.598503
2,X25519,EC,4,19458,0,8.006481233,2430.281097743753,1.010564,1.62594315,1.5268739999999998,2.1348173499999996
2,ntruplus_kem768,haetae2,16,4262,0,8.030467305,530.7287656032615,11.9769515,22.38784205,28.7313445,40.010537199999995
2,ntruplus_kem768,aimer128f,4,3610,0,8.022499032,449.9844731174783,7.6657969999999995,11.059512499999999,8.406341000000001,11.814343599999999
2,ntruplus_kem768,aimer128f,16,4158,0,8.032806633,517.627298896789,12.873833,20.34733279999999,29.631437,38.5673148
2,ntruplus_kem768,haetae2,4,3897,0,8.05159221,484.0036477704327,6.902646,11.7641892,7.632277,12.561209599999998
2,X25519,EC,1,9396,0,8.032239675,1169.7858107054058,0.5631455000000001,0.60884425,0.794451,0.85181425
2,smaug1,haetae2,4,4141,0,8.007985743,517.108812739803,6.419423,11.03947,7.126033,11.818244
2,X25519,EC,16,18703,0,8.050444456,2323.2257674991656,1.857014,3.635499099999999,6.482833,8.485387299999998
2,smaug1,aimer128f,4,3673,0,8.028038938,457.52144806052013,7.512008,11.0321518,8.240113,11.717400399999997
2,smaug1,aimer128f,1,2122,0,8.034110801,264.1238156356863,3.4161215,3.53672385,3.678725,3.83351785
2,smaug1,aimer128f,16,4140,0,8.032764732,515.3891764696589,12.893727,21.10373565,29.674222999999998,40.61250929999999
2,smaug1,haetae2,16,4561,0,8.058699593,565.9722077196928,11.32774,21.170885,26.844192,37.825239
2,ntruplus_kem768,aimer128f,1,1983,0,8.030476758,246.9342804615586,3.679528,3.7980389999999997,3.948617,4.1253150000000005
2,ntruplus_kem768,haetae2,1,2152,0,8.030042461,267.99360158451844,3.165909,4.760044199999999,3.432538,5.05147855
2,smaug1,haetae2,1,2384,0,8.030689631,296.86117999098155,2.8316315,4.406906399999997,3.08878,4.640733949999998
