block,kem,signature,mtu,added_rtt_ms,hrr,n,median_ms,tcp_rtt_median_ms,sent_handshake_bytes,received_handshake_bytes,snd_mss_min,snd_mss_max
0,ntruplus_kem768,aimer128f,9001,30,0,3,34.355783,30.433,1356,13357,8949,8949
0,smaug1,aimer128f,9001,30,0,3,34.074979,30.378,876,12877,8949,8949
0,smaug1,haetae2,9001,30,0,3,33.585027,30.409,876,5014,8949,8949
0,ntruplus_kem768,haetae2,9001,30,0,3,33.994411,30.37,1356,5494,8949,8949
0,X25519,EC,9001,30,0,3,31.270977,30.434,244,654,8949,8949
0,smaug1,haetae2,9001,10,0,3,13.633087,10.347,876,5014,8949,8949
0,ntruplus_kem768,haetae2,9001,10,0,3,13.672621,10.339,1356,5494,8949,8949
0,ntruplus_kem768,aimer128f,9001,10,0,3,14.251735,10.343,1356,13357,8949,8949
0,smaug1,aimer128f,9001,10,0,3,13.970043,10.36,876,12877,8949,8949
0,X25519,EC,9001,10,0,3,11.274531,10.32,244,654,8949,8949
0,ntruplus_kem768,aimer128f,1500,0,0,3,3.503833,0.139,1356,13357,1448,1448
0,X25519,EC,1500,0,0,3,0.547241,0.144,244,654,1448,1448
0,smaug1,haetae2,1500,0,0,3,2.639878,0.128,876,5014,1448,1448
0,smaug1,aimer128f,1500,0,0,3,3.167504,0.131,876,12877,1448,1448
0,ntruplus_kem768,haetae2,1500,0,0,3,3.786251,0.132,1356,5494,1448,1448
0,ntruplus_kem768,aimer128f,1500,30,0,3,62.843276,30.482,1356,13357,1448,1448
0,X25519,EC,1500,30,0,3,31.321614,30.408,244,654,1448,1448
0,ntruplus_kem768,haetae2,1500,30,0,3,33.905646,30.386,1356,5494,1448,1448
0,smaug1,aimer128f,1500,30,0,3,62.576334,30.383,876,12877,1448,1448
0,smaug1,haetae2,1500,30,0,3,34.573751,30.402,876,5014,1448,1448
0,ntruplus_kem768,haetae2,9001,0,0,3,3.299641,0.167,1356,5494,8949,8949
0,ntruplus_kem768,aimer128f,9001,0,0,3,3.423253,0.121,1356,13357,8949,8949
0,smaug1,aimer128f,9001,0,0,3,3.116184,0.147,876,12877,8949,8949
0,smaug1,haetae2,9001,0,0,3,2.491345,0.116,876,5014,8949,8949
0,X25519,EC,9001,0,0,3,0.539167,0.111,244,654,8949,8949
0,X25519,EC,1500,10,0,3,11.138107,10.35,244,655,1448,1448
0,ntruplus_kem768,haetae2,1500,10,0,3,13.896051,10.327,1356,5494,1448,1448
0,ntruplus_kem768,aimer128f,1500,10,0,3,22.701497,10.354,1356,13357,1448,1448
0,smaug1,haetae2,1500,10,0,3,13.687863,10.341,876,5014,1448,1448
0,smaug1,aimer128f,1500,10,0,3,22.402853,10.342,876,12877,1448,1448
1,smaug1,aimer128f,1500,10,0,3,22.398796,10.374,876,12877,1448,1448
1,smaug1,haetae2,1500,10,0,3,13.742057,10.42,876,5014,1448,1448
1,ntruplus_kem768,aimer128f,1500,10,0,3,22.568802,10.342,1356,13357,1448,1448
1,X25519,EC,1500,10,0,3,11.285962,10.343,244,654,1448,1448
1,ntruplus_kem768,haetae2,1500,10,0,3,13.663659,10.369,1356,5494,1448,1448
1,smaug1,haetae2,1500,30,0,3,33.736521,30.376,876,5014,1448,1448
1,ntruplus_kem768,haetae2,1500,30,0,3,34.354044,30.487,1356,5494,1448,1448
1,X25519,EC,1500,30,0,3,31.334605,30.4,244,655,1448,1448
1,smaug1,aimer128f,1500,30,0,3,62.547385,30.458,876,12877,1448,1448
1,ntruplus_kem768,aimer128f,1500,30,0,3,63.037244,30.412,1356,13357,1448,1448
1,ntruplus_kem768,aimer128f,9001,10,0,3,14.152844,10.345,1356,13357,8949,8949
1,X25519,EC,9001,10,0,3,11.074228,10.342,244,653,8949,8949
1,smaug1,aimer128f,9001,10,0,3,13.963536,10.397,876,12877,8949,8949
1,smaug1,haetae2,9001,10,0,3,13.497461,10.353,876,5014,8949,8949
1,ntruplus_kem768,haetae2,9001,10,0,3,14.28293,10.366,1356,5494,8949,8949
1,ntruplus_kem768,aimer128f,9001,30,0,3,34.261924,30.405,1356,13357,8949,8949
1,smaug1,aimer128f,9001,30,0,3,34.184694,30.405,876,12877,8949,8949
1,ntruplus_kem768,haetae2,9001,30,0,3,34.366559,30.419,1356,5494,8949,8949
1,X25519,EC,9001,30,0,3,31.270689,30.431,244,654,8949,8949
1,smaug1,haetae2,9001,30,0,3,33.608569,30.402,876,5014,8949,8949
1,ntruplus_kem768,haetae2,9001,0,0,3,4.016763,0.17,1356,5494,8949,8949
1,ntruplus_kem768,aimer128f,9001,0,0,3,3.528169,0.141,1356,13357,8949,8949
1,smaug1,aimer128f,9001,0,0,3,3.198045,0.124,876,12877,8949,8949
1,smaug1,haetae2,9001,0,0,3,2.725517,0.127,876,5014,8949,8949
1,X25519,EC,9001,0,0,3,0.549789,0.107,244,654,8949,8949
1,smaug1,aimer128f,1500,0,0,3,3.131723,0.142,876,12877,1448,1448
1,smaug1,haetae2,1500,0,0,3,2.434774,0.123,876,5014,1448,1448
1,ntruplus_kem768,aimer128f,1500,0,0,3,3.637965,0.221,1356,13357,1448,1448
1,ntruplus_kem768,haetae2,1500,0,0,3,3.35026,0.127,1356,5494,1448,1448
1,X25519,EC,1500,0,0,3,0.560774,0.122,244,654,1448,1448
2,smaug1,haetae2,1500,10,0,3,13.199327,10.346,876,5014,1448,1448
2,smaug1,aimer128f,1500,10,0,3,22.427886,10.328,876,12877,1448,1448
2,ntruplus_kem768,aimer128f,1500,10,0,3,22.642823,10.337,1356,13357,1448,1448
2,X25519,EC,1500,10,0,3,11.165424,10.344,244,654,1448,1448
2,ntruplus_kem768,haetae2,1500,10,0,3,13.785302,10.343,1356,5494,1448,1448
2,X25519,EC,9001,0,0,3,0.530324,0.133,244,654,8949,8949
2,ntruplus_kem768,aimer128f,9001,0,0,3,3.427046,0.13,1356,13357,8949,8949
2,smaug1,aimer128f,9001,0,0,3,3.158672,0.136,876,12877,8949,8949
2,ntruplus_kem768,haetae2,9001,0,0,3,2.715272,0.139,1356,5494,8949,8949
2,smaug1,haetae2,9001,0,0,3,2.530908,0.141,876,5014,8949,8949
2,ntruplus_kem768,haetae2,9001,10,0,3,14.028304,10.334,1356,5494,8949,8949
2,X25519,EC,9001,10,0,3,11.094298,10.332,244,653,8949,8949
2,ntruplus_kem768,aimer128f,9001,10,0,3,14.25739,10.347,1356,13357,8949,8949
2,smaug1,haetae2,9001,10,0,3,13.574403,10.386,876,5014,8949,8949
2,smaug1,aimer128f,9001,10,0,3,13.972974,10.357,876,12877,8949,8949
2,ntruplus_kem768,haetae2,1500,30,0,3,33.767284,30.396,1356,5494,1448,1448
2,ntruplus_kem768,aimer128f,1500,30,0,3,62.886032,30.431,1356,13357,1448,1448
2,X25519,EC,1500,30,0,3,31.250503,30.401,244,655,1448,1448
2,smaug1,haetae2,1500,30,0,3,33.766421,30.427,876,5014,1448,1448
2,smaug1,aimer128f,1500,30,0,3,62.648288,30.448,876,12877,1448,1448
2,X25519,EC,1500,0,0,3,0.545224,0.114,244,653,1448,1448
2,ntruplus_kem768,aimer128f,1500,0,0,3,3.504182,0.149,1356,13357,1448,1448
2,smaug1,haetae2,1500,0,0,3,2.675741,0.121,876,5014,1448,1448
2,ntruplus_kem768,haetae2,1500,0,0,3,2.766118,0.13,1356,5494,1448,1448
2,smaug1,aimer128f,1500,0,0,3,3.142945,0.135,876,12877,1448,1448
2,smaug1,aimer128f,9001,30,0,3,34.127833,30.432,876,12877,8949,8949
2,smaug1,haetae2,9001,30,0,3,33.69297,30.421,876,5014,8949,8949
2,X25519,EC,9001,30,0,3,31.405845,30.445,244,654,8949,8949
2,ntruplus_kem768,haetae2,9001,30,0,3,33.793146,30.506,1356,5494,8949,8949
2,ntruplus_kem768,aimer128f,9001,30,0,3,34.349519,30.495,1356,13357,8949,8949
