mode,kem,signature,analyzed_n,client_handshake_median_ms,client_cpu_median_ms,server_cpu_median_ms,client_peak_rss_growth_median_kib,server_peak_rss_growth_median_kib
cold,X25519,EC,15,1.387985,0.698,0.582,-1,-1
cold,smaug1,haetae2,15,4.108702,1.496,2.42,-1,-1
cold,smaug1,haetae3,15,3.677604,1.592,2.426,-1,-1
cold,smaug1,haetae5,15,3.964966,1.625,2.606,-1,-1
cold,smaug1,aimer128f,15,4.112459,2.2,2.244,-1,-1
cold,smaug1,aimer192f,15,6.179891,3.293,3.426,-1,-1
cold,smaug1,aimer256f,15,10.631975,5.551,5.718,-1,-1
cold,smaug3,haetae2,15,4.025505,1.573,2.314,-1,-1
cold,smaug3,haetae3,15,3.627426,1.642,2.403,-1,-1
cold,smaug3,haetae5,15,4.678705,1.705,3.309,-1,-1
cold,smaug3,aimer128f,15,4.191508,2.237,2.267,-1,-1
cold,smaug3,aimer192f,15,6.246201,3.373,3.475,-1,-1
cold,smaug3,aimer256f,15,10.649371,5.573,5.782,-1,-1
cold,smaug5,haetae2,15,3.592315,1.673,2.152,-1,-1
cold,smaug5,haetae3,15,3.643829,1.659,2.406,-1,-1
cold,smaug5,haetae5,15,4.327042,1.757,2.946,-1,-1
cold,smaug5,aimer128f,15,4.218287,2.348,2.311,-1,-1
cold,smaug5,aimer192f,15,6.30277,3.389,3.546,-1,-1
cold,smaug5,aimer256f,15,10.764285,5.636,5.83,-1,-1
cold,ntruplus_kem576,haetae2,15,4.065324,1.628,2.124,-1,-1
cold,ntruplus_kem576,haetae3,15,3.525664,1.694,2.254,-1,-1
cold,ntruplus_kem576,haetae5,15,3.51252,1.717,2.189,-1,-1
cold,ntruplus_kem576,aimer128f,15,4.311035,2.286,2.365,-1,-1
cold,ntruplus_kem576,aimer192f,15,6.337577,3.426,3.516,-1,-1
cold,ntruplus_kem576,aimer256f,15,10.850702,5.666,5.901,-1,-1
cold,ntruplus_kem768,haetae2,15,4.163478,1.675,2.336,-1,-1
cold,ntruplus_kem768,haetae3,15,3.693592,1.768,2.2,-1,-1
cold,ntruplus_kem768,haetae5,15,3.929514,1.778,2.437,-1,-1
cold,ntruplus_kem768,aimer128f,15,4.415875,2.376,2.381,-1,-1
cold,ntruplus_kem768,aimer192f,15,6.442949,3.542,3.543,-1,-1
cold,ntruplus_kem768,aimer256f,15,10.799924,5.759,5.848,-1,-1
cold,ntruplus_kem864,haetae2,15,3.50345,1.764,2.183,-1,-1
cold,ntruplus_kem864,haetae3,15,4.04684,1.843,2.605,-1,-1
cold,ntruplus_kem864,haetae5,15,4.202718,1.89,2.792,-1,-1
cold,ntruplus_kem864,aimer128f,15,4.432676,2.401,2.426,-1,-1
cold,ntruplus_kem864,aimer192f,15,6.524438,3.469,3.605,-1,-1
cold,ntruplus_kem864,aimer256f,15,10.906563,5.745,5.877,-1,-1
cold,ntruplus_kem1152,haetae2,15,3.764943,1.852,2.324,-1,-1
cold,ntruplus_kem1152,haetae3,15,4.120743,1.94,2.8,-1,-1
cold,ntruplus_kem1152,haetae5,15,4.215718,1.991,2.675,-1,-1
cold,ntruplus_kem1152,aimer128f,15,4.638047,2.518,2.541,-1,-1
cold,ntruplus_kem1152,aimer192f,15,6.806639,3.763,3.724,-1,-1
cold,ntruplus_kem1152,aimer256f,15,11.287048,6.076,6.03,-1,-1
warm,X25519,EC,15,0.537675,0.32,0.219,-1,-1
warm,smaug1,haetae2,15,2.760397,1.06,1.718,-1,-1
warm,smaug1,haetae3,15,2.674605,1.096,1.932,-1,-1
warm,smaug1,haetae5,15,2.711995,1.133,1.952,-1,-1
warm,smaug1,aimer128f,15,3.08339,1.688,1.766,-1,-1
warm,smaug1,aimer192f,15,5.472242,2.841,2.972,-1,-1
warm,smaug1,aimer256f,15,9.992561,5.096,5.401,-1,-1
warm,smaug3,haetae2,15,2.685332,1.107,1.602,-1,-1
warm,smaug3,haetae3,15,3.129548,1.145,2.384,-1,-1
