block,kem,signature,mtu,added_rtt_ms,hrr,n,median_ms,tcp_rtt_median_ms,sent_handshake_bytes,received_handshake_bytes,snd_mss_min,snd_mss_max
0,smaug1,haetae2,1500,0,1,3,3.467294,0.369,1080,5102,1448,1448
0,smaug1,haetae2,1500,0,0,3,2.81938,0.159,876,5014,1448,1448
0,smaug1,aimer128f,1500,0,1,3,3.523335,0.227,1080,12965,1448,1448
0,smaug1,aimer128f,1500,0,0,3,3.167929,0.13,876,12877,1448,1448
0,ntruplus_kem768,haetae2,1500,0,0,3,3.372632,0.148,1356,5494,1448,1448
0,ntruplus_kem768,haetae2,1500,0,1,3,3.366835,0.346,1560,5582,1448,1448
0,ntruplus_kem768,aimer128f,1500,0,0,3,3.54041,0.164,1356,13357,1448,1448
0,ntruplus_kem768,aimer128f,1500,0,1,3,3.865769,0.237,1560,13445,1448,1448
0,smaug1,haetae2,1500,10,0,3,13.269214,10.331,876,5014,1448,1448
0,smaug1,haetae2,1500,10,1,3,24.818785,10.609,1080,5102,1448,1448
0,smaug1,aimer128f,1500,10,0,3,22.328843,10.369,876,12877,1448,1448
0,smaug1,aimer128f,1500,10,1,3,33.064329,10.456,1080,12965,1448,1448
0,ntruplus_kem768,haetae2,1500,10,0,3,14.445865,10.335,1356,5494,1448,1448
0,ntruplus_kem768,haetae2,1500,10,1,3,25.023061,10.625,1560,5582,1448,1448
0,ntruplus_kem768,aimer128f,1500,10,0,3,22.610797,10.368,1356,13357,1448,1448
0,ntruplus_kem768,aimer128f,1500,10,1,3,33.714653,10.5,1560,13445,1448,1448
0,smaug1,haetae2,1500,30,1,3,65.268677,30.676,1080,5102,1448,1448
0,smaug1,haetae2,1500,30,0,3,33.693102,30.5,876,5014,1448,1448
0,smaug1,aimer128f,1500,30,0,3,62.646971,30.388,876,12877,1448,1448
0,smaug1,aimer128f,1500,30,1,3,93.613189,30.546,1080,12965,1448,1448
0,ntruplus_kem768,haetae2,1500,30,1,3,65.09559,30.666,1560,5582,1448,1448
0,ntruplus_kem768,haetae2,1500,30,0,3,34.332424,30.478,1356,5494,1448,1448
0,ntruplus_kem768,aimer128f,1500,30,1,3,93.790859,30.548,1560,13445,1448,1448
0,ntruplus_kem768,aimer128f,1500,30,0,3,62.77465,30.395,1356,13357,1448,1448
1,smaug1,haetae2,1500,0,0,3,2.581204,0.134,876,5014,1448,1448
1,smaug1,haetae2,1500,0,1,3,4.650217,0.576,1080,5102,1448,1448
1,smaug1,aimer128f,1500,0,0,3,3.15078,0.127,876,12877,1448,1448
1,smaug1,aimer128f,1500,0,1,3,3.569541,0.231,1080,12965,1448,1448
1,ntruplus_kem768,haetae2,1500,0,0,3,2.824349,0.133,1356,5494,1448,1448
1,ntruplus_kem768,haetae2,1500,0,1,3,4.347916,0.477,1560,5582,1448,1448
1,ntruplus_kem768,aimer128f,1500,0,1,3,3.895954,0.236,1560,13445,1448,1448
1,ntruplus_kem768,aimer128f,1500,0,0,3,3.442292,0.143,1356,13357,1448,1448
1,smaug1,haetae2,1500,10,1,3,25.002511,10.669,1080,5102,1448,1448
1,smaug1,haetae2,1500,10,0,3,13.504059,10.356,876,5014,1448,1448
1,smaug1,aimer128f,1500,10,0,3,22.392664,10.366,876,12877,1448,1448
1,smaug1,aimer128f,1500,10,1,3,33.194818,10.485,1080,12965,1448,1448
1,ntruplus_kem768,haetae2,1500,10,1,3,25.700195,10.791,1560,5582,1448,1448
1,ntruplus_kem768,haetae2,1500,10,0,3,13.876745,10.361,1356,5494,1448,1448
1,ntruplus_kem768,aimer128f,1500,10,0,3,22.567328,10.356,1356,13357,1448,1448
1,ntruplus_kem768,aimer128f,1500,10,1,3,33.491397,10.493,1560,13445,1448,1448
1,smaug1,haetae2,1500,30,0,3,33.813048,30.416,876,5014,1448,1448
1,smaug1,haetae2,1500,30,1,3,64.942232,30.683,1080,5102,1448,1448
1,smaug1,aimer128f,1500,30,1,3,93.603632,30.566,1080,12965,1448,1448
1,smaug1,aimer128f,1500,30,0,3,62.745569,30.415,876,12877,1448,1448
1,ntruplus_kem768,haetae2,1500,30,0,3,33.994058,30.374,1356,5494,1448,1448
1,ntruplus_kem768,haetae2,1500,30,1,3,64.866575,30.588,1560,5582,1448,1448
1,ntruplus_kem768,aimer128f,1500,30,0,3,62.964512,30.482,1356,13357,1448,1448
1,ntruplus_kem768,aimer128f,1500,30,1,3,93.89856,30.554,1560,13445,1448,1448
2,smaug1,haetae2,1500,0,0,3,2.957998,0.136,876,5014,1448,1448
2,smaug1,haetae2,1500,0,1,3,3.010248,0.311,1080,5102,1448,1448
2,smaug1,aimer128f,1500,0,0,3,3.250425,0.164,876,12877,1448,1448
2,smaug1,aimer128f,1500,0,1,3,3.608265,0.219,1080,12965,1448,1448
2,ntruplus_kem768,haetae2,1500,0,0,3,3.553332,0.139,1356,5494,1448,1448
2,ntruplus_kem768,haetae2,1500,0,1,3,3.920632,0.4,1560,5582,1448,1448
2,ntruplus_kem768,aimer128f,1500,0,0,3,3.412515,0.124,1356,13357,1448,1448
2,ntruplus_kem768,aimer128f,1500,0,1,3,3.79595,0.239,1560,13445,1448,1448
2,smaug1,haetae2,1500,10,0,3,13.212964,10.354,876,5014,1448,1448
2,smaug1,haetae2,1500,10,1,3,25.318754,10.637,1080,5102,1448,1448
2,smaug1,aimer128f,1500,10,1,3,33.073824,10.46,1080,12965,1448,1448
2,smaug1,aimer128f,1500,10,0,3,22.287733,10.356,876,12877,1448,1448
2,ntruplus_kem768,haetae2,1500,10,0,3,14.166152,10.339,1356,5494,1448,1448
2,ntruplus_kem768,haetae2,1500,10,1,3,24.77877,10.596,1560,5582,1448,1448
2,ntruplus_kem768,aimer128f,1500,10,1,3,33.475035,10.479,1560,13445,1448,1448
2,ntruplus_kem768,aimer128f,1500,10,0,3,22.597392,10.346,1356,13357,1448,1448
2,smaug1,haetae2,1500,30,0,3,33.771717,30.387,876,5014,1448,1448
2,smaug1,haetae2,1500,30,1,3,65.062795,30.706,1080,5102,1448,1448
2,smaug1,aimer128f,1500,30,1,3,93.45813,30.599,1080,12965,1448,1448
2,smaug1,aimer128f,1500,30,0,3,62.747549,30.456,876,12877,1448,1448
2,ntruplus_kem768,haetae2,1500,30,0,3,33.980717,30.416,1356,5494,1448,1448
2,ntruplus_kem768,haetae2,1500,30,1,3,65.775814,30.837,1560,5582,1448,1448
2,ntruplus_kem768,aimer128f,1500,30,0,3,63.122885,30.455,1356,13357,1448,1448
2,ntruplus_kem768,aimer128f,1500,30,1,3,93.765091,30.651,1560,13445,1448,1448
