mode,kem,signature,n,median_ms
cold,smaug5,aimer256f,30,11.667679
cold,smaug3,haetae5,30,4.1632455
cold,ntruplus_kem768,aimer192f,30,7.08394
cold,ntruplus_kem864,aimer128f,30,4.8657005
cold,smaug1,aimer128f,30,4.5254224999999995
cold,ntruplus_kem1152,haetae5,30,5.5414555
cold,smaug1,aimer192f,30,6.803675999999999
cold,ntruplus_kem576,haetae5,30,4.552500500000001
cold,ntruplus_kem1152,haetae3,30,4.701438
cold,ntruplus_kem576,aimer128f,30,4.7435265
cold,ntruplus_kem768,aimer256f,30,11.891237499999999
cold,ntruplus_kem864,aimer256f,30,11.88942
cold,smaug1,haetae3,30,3.956314
cold,smaug1,haetae2,30,4.2122525
cold,ntruplus_kem864,haetae5,30,5.2243215
cold,ntruplus_kem576,haetae3,30,4.1920845
cold,ntruplus_kem1152,aimer192f,30,7.344124
cold,smaug5,aimer192f,30,6.891434
cold,ntruplus_kem576,aimer256f,30,11.725565
cold,smaug5,haetae2,30,3.8905865
cold,X25519,EC,30,1.7239185
cold,ntruplus_kem864,haetae3,30,4.391998
cold,ntruplus_kem1152,aimer256f,30,12.218445
cold,ntruplus_kem1152,haetae2,30,4.262096
cold,smaug3,aimer192f,30,6.8474544999999996
cold,ntruplus_kem1152,aimer128f,30,5.1837935
cold,smaug5,aimer128f,30,4.738802
cold,ntruplus_kem864,aimer192f,30,7.178417
cold,ntruplus_kem768,haetae2,30,4.626389
cold,ntruplus_kem768,haetae5,30,5.073531
cold,smaug1,aimer256f,30,11.5075945
cold,smaug3,aimer128f,30,4.5921705
cold,ntruplus_kem768,aimer128f,30,4.829727
cold,smaug3,aimer256f,30,11.6370165
cold,ntruplus_kem576,haetae2,30,4.6100395
cold,smaug1,haetae5,30,4.0023025
cold,ntruplus_kem768,haetae3,30,4.260306
cold,smaug3,haetae3,30,3.9053880000000003
cold,smaug5,haetae3,30,4.252779500000001
cold,smaug5,haetae5,30,4.639263
cold,ntruplus_kem864,haetae2,30,4.0903565
cold,ntruplus_kem576,aimer192f,30,7.0106055000000005
cold,smaug3,haetae2,30,4.391697000000001
warm,smaug5,aimer256f,30,11.0424665
warm,smaug3,haetae5,30,4.162572
warm,ntruplus_kem768,aimer192f,30,6.4261885
warm,ntruplus_kem864,aimer128f,30,4.024774000000001
warm,smaug1,aimer128f,30,3.629811
warm,ntruplus_kem1152,haetae5,30,3.9226644999999998
warm,smaug1,aimer192f,30,6.1376435
warm,ntruplus_kem576,haetae5,30,3.8249805
warm,ntruplus_kem1152,haetae3,30,3.627238
warm,ntruplus_kem576,aimer128f,30,3.7965074999999997
warm,ntruplus_kem768,aimer256f,30,11.294855
warm,ntruplus_kem864,aimer256f,30,11.244226000000001
warm,smaug1,haetae3,30,2.8801585
warm,smaug1,haetae2,30,2.8523875
warm,ntruplus_kem864,haetae5,30,4.023028500000001
warm,ntruplus_kem576,haetae3,30,3.206062
warm,ntruplus_kem1152,aimer192f,30,6.7952455
warm,smaug5,aimer192f,30,6.308213500000001
warm,ntruplus_kem576,aimer256f,30,11.1476365
warm,smaug5,haetae2,30,3.375135
warm,X25519,EC,30,0.8148265
warm,ntruplus_kem864,haetae3,30,3.7594865
warm,ntruplus_kem1152,aimer256f,30,11.5000885
warm,ntruplus_kem1152,haetae2,30,3.588139
warm,smaug3,aimer192f,30,6.1964755
warm,ntruplus_kem1152,aimer128f,30,4.192017
warm,smaug5,aimer128f,30,3.8004230000000003
warm,ntruplus_kem864,aimer192f,30,6.5030185
warm,ntruplus_kem768,haetae2,30,3.8164115
warm,ntruplus_kem768,haetae5,30,3.713414
warm,smaug1,aimer256f,30,10.9248055
warm,smaug3,aimer128f,30,3.701593
warm,ntruplus_kem768,aimer128f,30,3.9159375
warm,smaug3,aimer256f,30,10.991947
warm,ntruplus_kem576,haetae2,30,3.423617
warm,smaug1,haetae5,30,3.7992535
warm,ntruplus_kem768,haetae3,30,3.3213204999999997
warm,smaug3,haetae3,30,2.983669
warm,smaug5,haetae3,30,3.2389335
warm,smaug5,haetae5,30,3.8469375
warm,ntruplus_kem864,haetae2,30,3.309436
warm,ntruplus_kem576,aimer192f,30,6.361618
warm,smaug3,haetae2,30,3.2040875
